	code	latitude	longitude	elevation	location	datetime
377	PBSI	-0.0547	98.28	47.0	Station Pulau Batu, Sumatra	2008-01-01T00:00:00
378	PCI	-0.9054	119.8366	150.0	Station Palu, Indonesia	2005-01-01T00:00:00
379	PCJI	-8.1947	111.1771	702.27	Station Pacitan, Java	2008-01-01T00:00:00
380	PCJM	-6.912934	108.719107	646.0	Type MR, Pabuaran,Cirebon,Jawa Barat	2019-01-01T00:00:00
381	PDGB	100.298818	0.545579	129.0	PDGB	2020-01-01T00:00:00
382	PDLI	-8.1037	117.8729	16.0	Station Type A,Tambora,Dompu,Nusa Tenggara Barat	2019-01-01T00:00:00
383	PDSI	-0.9118	100.4617	275.6	Station Padang, Sumatra	2007-01-01T00:00:00
384	PGJM	-8.0102	110.414	361.0	Station Type MR, Panggang, Gunung Kidul, DIY	2020-10-01T00:00:00
385	PGJR	-7.64554	107.72842	57.0	REIS Pameungpeuk	2018-01-02T00:00:00
386	PICM	-0.710997	120.088757	40.0	Type MR, Parigi Utara,Parigi Moutong,Sulawesi Tengah	2019-01-01T00:00:00
387	PKCI	-4.3507	122.3436	201.0	Station Type A, Palangga, Palangga,Sulawesi Tenggara	2019-01-01T00:00:00
388	PKJI	-7.1678	109.5798	847.0	Station Type B Paninggaran,Pekalongan,Jawa Tengah	2019-01-01T00:00:00
389	PKJM	-6.79577	108.43985	290.0	Type MR, Pasawahan,Kuningan,Jawa Barat	2019-01-01T00:00:00
390	PKKI	-2.2411	113.9722	65.0	Station Palangkaraya, Kalimantan, BMG, Indonesia	2007-01-01T00:00:00
391	PKSI	-4.0428	103.2639	741.0	Station Type B Pagar Alam Utara,Kota Pagar Alam,Sumatera Selatan	2019-01-01T00:00:00
392	PLAI	-8.8274543	117.7764528	62.0	Plampang, Indonesia	2011-03-04T00:00:00
393	PLJI	-7.8616	112.1548	232.9	Station Type B Plosoklaten,Kediri,Jawa Timur	2019-01-01T00:00:00
394	PLKI	-2.2262	113.9453	69.73	Station Palangkaraya, Kalimantan	2007-01-01T00:00:00
395	PLSI	0.23729	100.55398	133.0	Station Type B Pangkalan Koto Baru,Lima Puluh Koto,Sumatera Barat	2019-01-01T00:00:00
396	PLSM	1.54	99.6462	88.0	Type MR, Sosa,Padanglawas,Sumatera Utara	2019-01-01T00:00:00
397	PMBI	-2.9024	104.6993	25.0	GEOFON Station Palembang, Sumatra, Indonesia	2005-12-06T00:00:00
398	PMCI	-1.17288	119.3477	83.0	Station Type A, Pasangkayu, Mamuju Utara, Sulawesi Barat	2019-01-01T00:00:00
399	PMMI	0.3738	127.4158	16.0	Station Type A, Pulau Makian,Halmahera Selatan,Maluku Utara	2019-01-01T00:00:00
400	PMSI	-3.5008	118.9149	306.8	Station Majene, Sulawesi, Indonesia (BMKG)	2009-01-01T00:00:00
401	POBSI	-4.73985	122.00214	126.0	Poleang, Bombana, Sulawesi Tenggara	2022-09-22T07:45:29.525
